Reference,Film Title_EN,Film Title_TC,Film Title_SC,Funding Scheme,Hong Kong Box Office (HK$),Last Update
Film001,MicroSex Office,潮性辦公室,潮性办公室,1,3411062,31/12/2024
Film002,Beach Spike,熱浪球愛戰,热浪球爱战,1,1677655,31/12/2024
Film003,The Killer Who Never Kills,殺手‧歐陽盆栽,杀手‧欧阳盆栽,1,1677655,31/12/2024
Film004,Love Lifting,高舉‧愛,高举‧爱,1,1298130,31/12/2024
Film005,37,37,37,1,33520,31/12/2024
Film006,The Way We Dance,狂舞派,狂舞派,1,13646417,31/12/2024
Film007,Kick Ass Girls,爆3俏嬌娃,爆3俏娇娃,1,1450055,31/12/2024
Film008,Bends,過界,过界,1,402972,31/12/2024
Film009,Doomsday Party,末日派對,末日派对,1,290326,31/12/2024
Film010,A Complicated Story,一個複雜故事,一个复杂故事,1,276738,31/12/2024
Film011,Lost in Wrestling,搏擊奇緣,搏击奇缘,1,3729,31/12/2024
Film012,The Midnight After,那夜凌晨，我坐上了旺角開往大埔的紅Van,那夜凌晨，我坐上了旺角开往大埔的红Van,1,21298819,31/12/2024
Film013,Twilight Online,恐怖在線,恐怖在线,1,4460210,31/12/2024
Film014,The Seventh Lie,第七謊言,第七谎言,1,584975,31/12/2024
Film015,The Love Expert,愛情達人,爱情达人,1,5625,31/12/2024
Film016,The True Love,不愛不散,不爱不散,1,1480,31/12/2024
Film017,Wonder Mama,媽咪俠,妈咪侠,1,443366,31/12/2024
Film018,The Merger,我們停戰吧！,我们停战吧！,1,483470,31/12/2024
Film019,The Moment,此情此刻,此情此刻,1,215798,31/12/2024
Film020,Love Revolution,愛革命,爱革命,1,43752,31/12/2024
Film021,Tomorrow is Another Day,黃金花,黄金花,1,6046782,31/12/2024
Film022,Men On The Dragon,逆流大叔,逆流大叔,1,15714085,31/12/2024
Film023,"I Love You, You're Perfect, Now Change",你咪理，我愛你！,你咪理，我爱你！,1,8947057,31/12/2024
Film024,The Secret Diary of a Mom to be,Baby復仇記,Baby复仇记,1,501180,31/12/2024
Film025,The Sparring Partner,正義迴廊,正义回廊,1,43691815,31/12/2024
Film026,Sunshine of My Life,一路瞳行,一路瞳行,1,4864927,31/12/2024
Film027,Social Distancing,電子靈,电子灵,1,173361,31/12/2024
Film028,Mama's Affair,阿媽有咗第二個,阿妈有咗第二个,1,44096039,31/12/2024
Film029,Look Up,一樣的天空,一样的天空,1,1434833,31/12/2024
Film030,Once In A Blue Moon,望月,望月,1,572976,31/12/2024
Film031,YUM Investigation,陰目偵信,阴目侦信,1,3783103,31/12/2024
Film032,Last Song For You,久別重逢,久别重逢,1,5929263,31/12/2024
Film033,We Are Family,出租家人,出租家人,1,3772178,31/12/2024
Film034,An Abandoned Team,得寵先生,得宠先生,1,3577139,31/12/2024
Film035,Over My Dead Body,死屍死時四十四,死尸死时四十四,1,23078611,31/12/2024
Film036,Tales from the Occult：Body and Soul,失衡凶間之罪與殺,失衡凶间之罪与杀,1,675697,31/12/2024
Film037,Chilli Laugh Story,闔家辣,阖家辣,1,32708642,31/12/2024
Film038,Possession Street,邪Mall,邪Mall,1,868044,31/12/2024
Film039,Inexternal,裡應外合,里应外合,1,329598,31/12/2024
Film040,A Guilty Conscience,毒舌大狀,毒舌大状,1,121794204,31/12/2024
Film041,PaPa,爸爸,爸爸,1,20204601,31/12/2024
Film042,Back Home,七月返歸,七月返归,1,5149384,31/12/2024
Film043,Lucid Dreams,八步半 喜怒哀樂,八步半 喜怒哀乐,2,532771,31/12/2024
Film044,Napping Kid,逆向誘拐,逆向诱拐,2,1121323,31/12/2024
Film045,Zombiology: Enjoy Yourself Tonight,今晚打喪屍,今晚打丧尸,2,5010411,31/12/2024
Film046,Keep Rolling,好好拍電影,好好拍电影,2,963260,31/12/2024
Film047,Beyond The Dream,幻愛,幻爱,2,15296661,31/12/2024
Film048,The Lady Improper,非分熟女,非分熟女,2,4160052,31/12/2024
Film049,The First Girl I Loved,喜歡妳．是妳,喜欢妳．是妳,2,2451777,31/12/2024
Film050,"Lost in Home, Found in Family",4 拍 4 家族,4 拍 4 家族,2,2272977,31/12/2024
Film051,Just 1 Day,給我一天,给我一天,2,98032,31/12/2024
Film052,The Way We Keeping Dancing,狂舞派 3,狂舞派 3,2,8740681,31/12/2024
Film053,Weeds on Fire,點五步,点五步,3,4687562,31/12/2024
Film054,Mad World,一念無明,一念无明,3,17130415,31/12/2024
Film055,Somewhere Beyond the Mist,藍天白雲,蓝天白云,3,771424,31/12/2024
Film056,In Your Dreams,以青春的名義,以青春的名义,3,479404,31/12/2024
Film057,Apart,散後,散后,3,41353,31/12/2024
Film058,Still Human,淪落人,沦落人,3,19841479,31/12/2024
Film059,G Affairs,G殺,G杀,3,1050899,31/12/2024
Film060,My Prince Edward,金都,金都,3,5277629,31/12/2024
Film061,Hand Rolled Cigarette,手捲煙,手卷烟,3,8025869,31/12/2024
Film062,Elisa's Day,遺愛,遗爱,3,714202,31/12/2024
Film063,Hong Kong Family,過時．過節,过时．过节,3,12789619,31/12/2024
Film064,Time Still Turns the Pages,年少日記,年少日记,3,27626902,31/12/2024
Film065,A Light Never Goes Out,燈火闌珊,灯火阑珊,3,3157212,31/12/2024
Film066,Fly Me To The Moon,但願人長久,但愿人长久,3,4877752,31/12/2024
Film067,Blossom Under Somewhere,寄了一整個春天,寄了一整个春天,3,969572,31/12/2024
Film068,Love Lies,我談的那場戀愛,我谈的那场恋爱,3,18920302,31/12/2024
Film069,Lost Love,流水落花,流水落花,3,7174824,31/12/2024
Film070,Stuntman,武替道,武替道,3,9224324,31/12/2024
